ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason,sizing_method,initial_risk_dollars,r_multiple,entry_log,exit_log
AAPL,2019-01-30,39.208370208740234,2019-04-30,47.81657028198242,51.009516318894704,439.1001221123579,21.955006105617898,trend_exit,pct,160.0,2.7443757632022368,"Entered long AAPL at $39.21 because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited AAPL at $47.82 (+21.96%, up, +2.7R) because price closed back below its 20-day moving average (trend exit)."
MSFT,2019-01-30,99.09281921386719,2019-02-01,95.73941040039062,20.183097179660393,-67.682175965527,-3.3841087982763556,trend_exit,pct,160.0,-0.4230135997845437,"Entered long MSFT at $99.09 because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited MSFT at $95.74 (-3.38%, down, -0.4R) because price closed back below its 20-day moving average (trend exit)."
SPY,2019-01-31,241.4739227294922,2019-03-07,246.01834106445312,8.264031986566685,37.55521848045714,1.881949936288466,trend_exit,pct,159.64385770866045,0.23524374203605722,"Entered long SPY at $241.47 because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited SPY at $246.02 (+1.88%, up, +0.2R) because price closed back below its 20-day moving average (trend exit)."
MSFT,2019-02-21,102.35050964355469,2019-05-13,115.39105987548828,18.66150728644714,243.35632317250838,12.74107014938034,trend_exit,pct,152.80118251878196,1.5926337686725403,"Entered long MSFT at $102.35 because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited MSFT at $115.39 (+12.74%, up, +1.6R) because price closed back below its 20-day moving average (trend exit)."
SPY,2019-03-12,250.02610778808594,2019-05-07,258.7108459472656,7.850947688781842,68.18342497848721,3.473532518668247,trend_exit,pct,157.03535144591945,0.43419156483353066,"Entered long SPY at $250.03 because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited SPY at $258.71 (+3.47%, up, +0.4R) because price closed back below its 20-day moving average (trend exit)."
AAPL,2019-05-01,50.16366958618164,2019-05-07,48.33842086791992,43.16656226644512,-78.78971244859349,-3.638586916226144,trend_exit,pct,173.2314533364231,-0.4548233645282673,"Entered long AAPL at $50.16 because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited AAPL at $48.34 (-3.64%, down, -0.5R) because price closed back below its 20-day moving average (trend exit)."
MSFT,2019-05-16,121.05747985839844,2019-05-20,118.512939453125,17.581273313763628,-44.73626032302718,-2.101927454833687,trend_exit,pct,170.26757120527506,-0.26274093185421094,"Entered long MSFT at $121.06 because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited MSFT at $118.51 (-2.10%, down, -0.3R) because price closed back below its 20-day moving average (trend exit)."
MSFT,2019-06-07,123.37665557861328,2019-07-17,127.94933319091797,17.17826908228107,78.55068645069241,3.7062745710358986,trend_exit,pct,169.55179104010662,0.46328432137948716,"Entered long MSFT at $123.38 because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited MSFT at $127.95 (+3.71%, up, +0.5R) because price closed back below its 20-day moving average (trend exit)."
AAPL,2019-06-18,47.469688415527344,2019-08-02,48.80204391479492,43.88083532581565,58.46487225880537,2.8067500414259396,trend_exit,pct,166.64076642636275,0.35084375517824173,"Entered long AAPL at $47.47 because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited AAPL at $48.80 (+2.81%, up, +0.4R) because price closed back below its 20-day moving average (trend exit)."
SPY,2019-06-18,262.7273254394531,2019-07-31,268.5465393066406,8.113075614270228,47.21172212010197,2.214925249002532,trend_exit,pct,170.52213257802123,0.276865656125316,"Entered long SPY at $262.73 because price closed above its 20-day moving average, with volume above its 20-day average (volume confirmation).","Exited SPY at $268.55 (+2.21%, up, +0.3R) because price closed back below its 20-day moving average (trend exit)."
