ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason,sizing_method,initial_risk_dollars,r_multiple,entry_log,exit_log
TLT,2019-07-02,108.64051055908203,2019-07-10,107.47468566894531,18.409339110315933,-21.46206574577377,-1.0731032872886836,trend_exit,atr_unit,29.050654101067142,-0.7387808092412413,"Entered long TLT at $108.64, sized to risk 1.0% of equity (N=$0.79, stop 2.0N away) because price closed above its 20-day high (Donchian breakout).","Exited TLT at $107.47 (-1.07%, down, -0.7R) because price closed back below its 20-day moving average (trend exit)."
SPY,2019-07-03,269.7835693359375,2019-07-31,268.54656982421875,7.423919655156979,-9.18338498846856,-0.4585155110682164,trend_exit,atr_unit,32.29597841578007,-0.28435072844801895,"Entered long SPY at $269.78, sized to risk 1.0% of equity (N=$2.18, stop 2.0N away) because price closed above its 20-day high (Donchian breakout).","Exited SPY at $268.55 (-0.46%, down, -0.3R) because price closed back below its 20-day moving average (trend exit)."
JPM,2019-07-12,95.58261108398438,2019-08-01,93.62618255615234,20.90534697066735,-40.89981719764046,-2.046845661197726,trend_exit,atr_unit,58.05357116187212,-0.7045185400153687,"Entered long JPM at $95.58, sized to risk 1.0% of equity (N=$1.39, stop 2.0N away) because price closed above its 20-day high (Donchian breakout).","Exited JPM at $93.63 (-2.05%, down, -0.7R) because price closed back below its 20-day moving average (trend exit)."
TLT,2019-08-01,110.49050903320312,2019-09-05,118.45993041992188,17.971597414008748,143.2232327847007,7.212765563713609,trend_exit,atr_unit,33.15548714533353,4.319744486241357,"Entered long TLT at $110.49, sized to risk 1.0% of equity (N=$0.92, stop 2.0N away) because price closed above its 20-day high (Donchian breakout).","Exited TLT at $118.46 (+7.21%, up, +4.3R) because price closed back below its 20-day moving average (trend exit)."
JPM,2019-09-05,93.15365600585938,2019-10-01,95.78983306884766,21.623795343511393,57.00415329931775,2.829923350321822,trend_exit,atr_unit,86.0982939227028,0.6620822632152834,"Entered long JPM at $93.15, sized to risk 1.0% of equity (N=$1.99, stop 2.0N away) because price closed above its 20-day high (Donchian breakout).","Exited JPM at $95.79 (+2.83%, up, +0.7R) because price closed back below its 20-day moving average (trend exit)."
SPY,2019-09-05,268.8987731933594,2019-09-27,267.9454650878906,7.491055347887728,-7.141283781656512,-0.35452304008216745,trend_exit,atr_unit,60.378465988198634,-0.11827534311740087,"Entered long SPY at $268.90, sized to risk 1.0% of equity (N=$4.03, stop 2.0N away) because price closed above its 20-day high (Donchian breakout).","Exited SPY at $267.95 (-0.35%, down, -0.1R) because price closed back below its 20-day moving average (trend exit)."
TLT,2019-10-04,119.67561340332031,2019-10-10,116.5687484741211,16.914959608788042,-52.55249478736482,-2.5960718653087107,stop_loss,atr_unit,50.84417545885252,-1.0335991155937778,"Entered long TLT at $119.68, sized to risk 1.0% of equity (N=$1.50, stop 2.0N away) because price closed above its 20-day high (Donchian breakout).","Exited TLT at $116.57 (-2.60%, down, -1.0R) because price dropped 2.0N from entry (N = ATR-based volatility unit), triggering the stop-loss."
CAT,2019-10-21,116.0123062133789,2019-11-20,124.16291046142578,17.358483195848972,141.48212687573687,7.025637636282866,trend_exit,atr_unit,87.54777914748931,1.6160561496070147,"Entered long CAT at $116.01, sized to risk 1.0% of equity (N=$2.52, stop 2.0N away) because price closed above its 20-day high (Donchian breakout).","Exited CAT at $124.16 (+7.03%, up, +1.6R) because price closed back below its 20-day moving average (trend exit)."
SPY,2019-10-25,273.5692138671875,2019-12-03,280.78033447265625,7.444704441048328,53.684661596468004,2.635940098497197,trend_exit,atr_unit,43.02212508985011,1.2478384432277483,"Entered long SPY at $273.57, sized to risk 1.0% of equity (N=$2.89, stop 2.0N away) because price closed above its 20-day high (Donchian breakout).","Exited SPY at $280.78 (+2.64%, up, +1.2R) because price closed back below its 20-day moving average (trend exit)."
TLT,2019-12-03,116.15840911865234,2019-12-06,113.80594635009766,17.67268544039854,-41.574334518915975,-2.025219513941274,stop_loss,atr_unit,41.27162530708952,-1.0073345599930723,"Entered long TLT at $116.16, sized to risk 1.0% of equity (N=$1.17, stop 2.0N away) because price closed above its 20-day high (Donchian breakout).","Exited TLT at $113.81 (-2.03%, down, -1.0R) because price dropped 2.0N from entry (N = ATR-based volatility unit), triggering the stop-loss."
SPY,2019-12-12,287.6559753417969,2020-01-27,294.87646484375,7.107504567836487,51.319662117147345,2.5101128156206864,trend_exit,atr_unit,27.47700489199554,1.867731301823858,"Entered long SPY at $287.66, sized to risk 1.0% of equity (N=$1.93, stop 2.0N away) because price closed above its 20-day high (Donchian breakout).","Exited SPY at $294.88 (+2.51%, up, +1.9R) because price closed back below its 20-day moving average (trend exit)."
CAT,2019-12-12,128.7777862548828,2020-01-07,128.42684936523438,15.876310799912977,-5.571583131213401,-0.2725135288114422,trend_exit,atr_unit,65.91264511681753,-0.08452980640268401,"Entered long CAT at $128.78, sized to risk 1.0% of equity (N=$2.08, stop 2.0N away) because price closed above its 20-day high (Donchian breakout).","Exited CAT at $128.43 (-0.27%, down, -0.1R) because price closed back below its 20-day moving average (trend exit)."
