ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
MSFT,2006-01-31,19.541486740112305,2006-02-07,18.70149803161621,102.34635811484353,-85.96978517216621,-4.298489258608305,trend_exit
SPY,2006-02-01,88.16139221191406,2006-02-02,87.1382827758789,22.667934223395147,-23.191777399380044,-1.1604960066600378,trend_exit
SPY,2006-02-14,87.72193908691406,2006-03-07,87.87298583984375,22.550432743235884,3.406169643025123,0.17218811451492405,trend_exit
MSFT,2006-03-06,18.743974685668945,2006-03-23,18.702190399169922,105.60558020122913,-4.412653819023944,-0.22292116373252677,trend_exit
SPY,2006-03-10,88.29872131347656,2006-04-07,89.30474090576172,22.454164958011702,22.589329876162765,1.1393365354789264,trend_exit
AAPL,2006-04-05,2.0119597911834717,2006-05-11,2.040099859237671,987.6118967682677,27.791465986195817,1.3986396834325756,trend_exit
SPY,2006-04-18,90.10447692871094,2006-05-11,90.27684020996094,21.937097180025166,3.7811500510492806,0.19129269390950548,trend_exit
MSFT,2006-04-27,18.980804443359375,2006-04-28,16.821514129638672,103.0706865643283,-222.5595351268969,-11.376179129626681,stop_loss
SPY,2006-06-02,88.93254089355469,2006-06-05,87.63643646240234,21.86249097655888,-28.336071430746188,-1.4574017768183185,trend_exit
MSFT,2006-06-19,15.76830005645752,2006-07-12,15.831229209899902,122.94411265517046,7.736768930114749,0.399086478676005,trend_exit
SPY,2006-06-29,88.12767028808594,2006-07-13,85.86337280273438,22.177349735322938,-50.216117237454,-2.569337732348605,trend_exit
AAPL,2006-06-29,1.7652915716171265,2006-06-30,1.7144023180007935,1071.3041224911153,-54.51786718967355,-2.8827676081699645,trend_exit
MSFT,2006-07-19,16.362672805786133,2006-07-20,15.978076934814453,117.29258649867832,-45.11024446298029,-2.3504465042879774,trend_exit
SPY,2006-07-19,87.03361511230469,2006-07-20,86.43809509277344,22.051482211163545,-13.132099117085318,-0.6842413919757496,trend_exit
AAPL,2006-07-20,1.8110932111740112,2006-08-29,1.990107536315918,1053.2708835398244,188.55057640850168,9.884324232316219,trend_exit
MSFT,2006-07-21,16.69131851196289,2006-12-01,20.507291793823242,114.36838284506877,436.42669322635834,22.86202422609929,trend_exit
