ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
AAPL,2019-01-30,39.208377838134766,2019-04-30,47.81657409667969,51.009506393165914,439.09984208387414,21.954992104193703,trend_exit
MSFT,2019-01-30,99.0927963256836,2019-02-01,95.73943328857422,20.183101841497084,-67.68126768949037,-3.384063384474524,trend_exit
SPY,2019-01-31,241.4739227294922,2019-03-07,246.01840209960935,8.26403203751423,37.55572310847083,1.8819752123744018,trend_exit
MSFT,2019-02-21,102.35052490234376,2019-05-13,115.39108276367188,18.66151227407917,243.35653059001424,12.741075704077303,trend_exit
SPY,2019-03-12,250.02606201171875,2019-05-07,258.7109375,7.850951811508839,68.18453894745039,3.4735880805394554,trend_exit
AAPL,2019-05-01,50.163673400878906,2019-05-07,48.338409423828125,43.16656568460879,-78.7903773571129,-3.6386170575355057,trend_exit
MSFT,2019-05-16,121.05744934082033,2019-05-20,118.51295471191406,17.581280702062234,-44.73547431569068,-2.1018901709572577,trend_exit
MSFT,2019-06-07,123.37663269042967,2019-07-17,127.94931030273438,17.178276443898312,78.5507201129949,3.7062752586044634,trend_exit
SPY,2019-06-18,262.72735595703125,2019-07-31,268.5466613769531,8.113076652147145,47.212470934081466,2.214959838774313,trend_exit
AAPL,2019-06-18,47.46967697143555,2019-08-02,48.80205154418945,43.880856426754654,58.46573733367268,2.806790898441653,trend_exit
MSFT,2019-07-19,128.27789306640625,2019-07-31,127.94931030273438,16.782788118764415,-5.514534902183186,-0.2561491741229145,trend_exit
MSFT,2019-08-08,130.40931701660156,2019-08-09,129.30136108398438,16.52597246172878,-18.31004923124101,-0.8495987541105985,trend_exit
AAPL,2019-08-13,50.176002502441406,2019-08-14,48.68251419067383,42.878640477951265,-64.03874837830426,-2.9764991973900465,trend_exit
MSFT,2019-09-05,131.93638610839844,2019-09-10,128.19639587402344,16.209865112495827,-60.62473722127061,-2.834692039618425,trend_exit
SPY,2019-09-05,268.8988037109375,2019-09-27,267.9454650878906,7.953441937013409,-7.582323384715437,-0.35453434894106145,trend_exit
AAPL,2019-09-09,51.42457580566406,2019-10-02,52.57471084594727,41.448854510389125,47.67177995199927,2.2365474527774922,trend_exit
MSFT,2019-09-12,129.55296325683594,2019-09-16,128.431884765625,15.93170746969436,-17.860694572538932,-0.86534376599972,trend_exit
MSFT,2019-09-18,130.4950408935547,2019-09-24,129.4210662841797,15.748517625453747,-16.91350806503192,-0.8230003240131135,trend_exit
AAPL,2019-10-04,54.50760269165039,2019-12-03,62.48384475708008,39.03325445488558,311.33868613367895,14.633265217241902,trend_exit
MSFT,2019-10-11,131.58779907226562,2019-10-18,129.4493408203125,15.775577147777787,-33.73541313098849,-1.6251189449401175,trend_exit
SPY,2019-10-11,268.7436828613281,2019-12-03,280.7803039550781,7.981040965473177,96.06476603509736,4.478848010712461,trend_exit
MSFT,2019-10-24,131.83274841308594,2020-02-24,161.97869873046875,15.29331384380613,461.0314793235225,22.866814718087507,trend_exit
AAPL,2019-12-06,65.19560241699219,2020-01-31,74.53990936279297,34.325331583016386,320.7464343280949,14.33272582717226,trend_exit
SPY,2019-12-10,284.39044189453125,2020-01-27,294.8764343261719,7.84970611604981,82.31195892350115,3.687181735710179,trend_exit
SPY,2020-01-28,297.9666442871094,2020-01-29,297.7203674316406,7.036807698631177,-1.7330028725573356,-0.08265249154245834,trend_exit
SPY,2020-01-30,298.6866455078125,2020-01-31,293.2630920410156,6.806233618488298,-36.913971937381575,-1.8158004545452688,trend_exit
AAPL,2020-02-18,77.00772857666016,2020-02-21,75.57136535644531,31.338737905613268,-45.013810495575854,-1.865219565312803,trend_exit
SPY,2020-02-20,307.1364440917969,2020-02-24,293.8920593261719,6.9330500992433475,-91.82398311373345,-4.312215310295942,trend_exit
MSFT,2020-03-31,149.48599243164062,2020-05-28,172.4194793701172,15.65406708791012,359.0023430946226,15.341562487176825,trend_exit
AAPL,2020-04-17,68.26890563964844,2020-07-23,89.89511108398438,35.185212083865935,760.9226251282162,31.67797292443504,trend_exit
SPY,2020-05-15,262.4842224121094,2020-06-11,275.6230773925781,7.7702215407620105,102.09181399018644,5.005578948604496,trend_exit
MSFT,2020-05-29,174.17794799804688,2020-06-04,173.86427307128906,14.345820835809812,-4.4999242999533635,-0.1800887714909409,trend_exit
MSFT,2020-06-05,177.93235778808594,2020-07-16,193.8246612548828,14.210763924965375,225.84177279055893,8.93165451430948,trend_exit
SPY,2020-06-15,281.5277709960937,2020-06-24,280.0407409667969,7.624413476974715,-11.337731796036678,-0.5282001217980912,trend_exit
SPY,2020-07-13,289.94061279296875,2020-09-04,315.4775695800781,6.584577969045951,168.15008305687888,8.80765082929033,trend_exit
MSFT,2020-07-20,201.1244354248047,2020-07-23,192.5129547119141,13.302830673438525,-114.55706977116552,-4.281668060224442,trend_exit
AAPL,2020-07-30,93.1338348388672,2020-09-08,109.4324188232422,28.073760733312636,457.56254706914524,17.500174896237787,trend_exit
MSFT,2020-08-03,205.8198699951172,2020-08-11,193.31137084960935,13.068585954185403,-163.468396240924,-6.0774011497551665,trend_exit
MSFT,2020-08-21,202.96356201171875,2020-09-04,204.135498046875,13.574658957425008,15.908631997162956,0.5774120357074658,trend_exit
SPY,2020-09-30,309.6394958496094,2020-10-26,313.8002014160156,8.717192507452115,36.26967138919099,1.3437257269102025,trend_exit
MSFT,2020-10-12,210.94793701171875,2020-10-26,200.1623687744141,12.393410881174578,-133.66997875186235,-5.112905293169797,trend_exit
AAPL,2020-10-12,120.66473388671876,2020-10-22,112.27442932128906,22.603632537421685,-189.65136127402457,-6.9534024525397795,trend_exit
SPY,2020-11-04,317.63726806640625,2021-01-27,347.65533447265625,8.316960964894799,249.65908654240093,9.450423304854242,trend_exit
MSFT,2020-11-04,206.1744537353516,2020-11-10,201.04844665527344,12.813307912992691,-65.68110708122185,-2.486247441042316,trend_exit
AAPL,2020-11-09,113.02197265625,2020-11-23,110.62201690673828,22.987680541827608,-55.16941608429761,-2.123441745978943,trend_exit
MSFT,2020-11-24,204.2974090576172,2020-12-03,204.6604156494141,12.960878592032444,4.704884364387453,0.17768536246807032,trend_exit
AAPL,2020-11-30,115.67457580566406,2021-01-06,123.01052856445312,21.656987265374163,158.87463547648122,6.341888619599204,trend_exit
MSFT,2020-12-14,204.6221618652344,2021-01-04,207.95611572265625,12.80780325391865,42.70062506350223,1.6293219791205276,trend_exit
MSFT,2021-01-20,214.3087615966797,2021-02-22,224.5399932861328,12.70800445793817,130.01853791976873,4.774061318457845,trend_exit
AAPL,2021-01-21,132.98934936523438,2021-01-29,128.2185821533203,18.633718392160716,-88.89713274136056,-3.587330289745158,trend_exit
SPY,2021-02-19,362.1592102050781,2021-02-25,355.00933837890625,7.545685412607029,-53.95068354075511,-1.974234431901691,trend_exit
SPY,2021-03-01,361.74127197265625,2021-03-02,358.91851806640625,7.48111662993342,-21.11735119025616,-0.7803239842821612,trend_exit
SPY,2021-03-10,361.74127197265625,2021-05-11,385.8709411621094,7.469441240462322,180.23514616241437,6.670421944907925,trend_exit
MSFT,2021-03-11,227.04861450195312,2021-03-18,220.91110229492188,11.924690013546638,-73.18793052320643,-2.703170957679838,trend_exit
AAPL,2021-03-31,118.86402893066406,2021-04-30,127.9236068725586,22.702675265630205,205.67665605849788,7.621799482481935,trend_exit
MSFT,2021-03-31,225.7464141845703,2021-04-28,243.737548828125,11.691164314957193,210.33731133031642,7.9696214482703285,trend_exit
SPY,2021-05-14,388.078857421875,2021-05-17,387.09130859375,7.232080176953383,-7.142032303656379,-0.2544711749270715,trend_exit
MSFT,2021-06-04,240.68234252929688,2021-09-09,285.81597900390625,11.655150834562239,526.039340823872,18.752367124362486,trend_exit
AAPL,2021-06-14,127.18562316894533,2021-08-02,141.84588623046875,22.215927128094894,325.69133585350573,11.526666848225178,trend_exit
SPY,2021-06-16,393.23046875,2021-06-18,387.7969665527344,7.014220845362258,-38.111784375382285,-1.3817602218204577,trend_exit
SPY,2021-06-21,393.3486328125,2021-07-19,397.1900329589844,6.846917047122684,26.301748147783655,0.9765891695155527,trend_exit
SPY,2021-07-20,402.8818359375,2021-08-18,410.47113037109375,6.24094678078869,47.36438266379446,1.8837519482439748,trend_exit
AAPL,2021-08-16,147.5251922607422,2021-08-18,142.87841796875,20.230662884182035,-94.00732420017766,-3.1498174791592772,trend_exit
SPY,2021-08-20,414.3778381347656,2021-09-10,416.3219604492188,7.190974825282656,13.980134620503122,0.4691665758970697,trend_exit
AAPL,2021-08-30,149.4776153564453,2021-09-10,145.4263916015625,16.91395798409371,-68.52222837425052,-2.7102544720306367,trend_exit
MSFT,2021-09-14,288.25830078125,2021-09-17,288.33526611328125,10.244062767398148,0.7884376922420415,0.026700126873243638,trend_exit
MSFT,2021-10-14,291.1044311523437,2021-11-26,317.57843017578125,10.144448170284516,268.5641109534249,9.094330484300638,trend_exit
AAPL,2021-10-18,143.0639190673828,2021-11-10,144.61204528808594,20.703687705686935,32.05192180242284,1.0821220548096133,trend_exit
SPY,2021-10-29,430.6042785644531,2021-11-26,430.34173583984375,6.514846231250767,-1.7104254799637602,-0.06097076542867593,trend_exit
AAPL,2021-11-17,150.05751037597656,2022-01-05,171.00828552246094,19.686126718883315,412.43961439252234,13.961830430207167,trend_exit
MSFT,2021-11-29,324.2733764648437,2021-11-30,318.4549865722656,9.371281155222544,-54.525767554054255,-1.7942854131316182,trend_exit
SPY,2021-12-07,439.071044921875,2021-12-14,434.4578552246094,6.992175228670431,-32.25623072637836,-1.050670444024944,trend_exit
MSFT,2021-12-07,322.6261291503906,2021-12-09,320.8729858398437,8.820155704288133,-15.462996970955373,-0.5433978069797665,trend_exit
MSFT,2021-12-10,329.9664306640625,2021-12-14,316.28765869140625,8.383333251591125,-114.67370391930172,-4.145504118442446,trend_exit
MSFT,2021-12-15,322.3659362792969,2021-12-16,312.9739074707031,8.334905230162368,-78.2816700385838,-2.913468127865881,trend_exit
SPY,2021-12-15,441.2463073730469,2021-12-17,432.700439453125,6.9549328280610885,-59.43593734053866,-1.9367568129463946,trend_exit
MSFT,2022-01-03,322.46246337890625,2022-01-04,316.93310546875,9.463818377717827,-52.32883900711613,-1.7147291663709194,trend_exit
AAPL,2022-01-28,166.52093505859375,2022-02-11,165.07879638671875,18.09964511745552,-26.10219817109646,-0.866040459938298,trend_exit
SPY,2022-02-10,422.7738342285156,2022-02-11,414.4371643066406,7.1458553296565785,-59.57263719281809,-1.9718982696949272,trend_exit
MSFT,2022-03-16,284.1702575683594,2022-04-06,289.1028137207031,10.545913171063333,52.01830889401117,1.735774952154233,trend_exit
SPY,2022-03-16,409.8830871582031,2022-04-11,415.2150573730469,7.311438202762264,38.98437072479919,1.3008514822632247,trend_exit
AAPL,2022-03-18,160.51718139648438,2022-04-11,162.24978637695312,18.34040101608269,31.776670144259242,1.0793891129879367,trend_exit
MSFT,2022-05-04,279.9132995605469,2022-05-05,267.72174072265625,10.794023495170476,-131.5959725389448,-4.3554768055076,trend_exit
AAPL,2022-05-04,162.51409912109375,2022-05-05,153.4594268798828,18.591560660936334,-168.3404882373693,-5.57162257932098,trend_exit
MSFT,2022-05-31,263.0433044433594,2022-06-10,244.77622985839844,11.258235392756957,-205.65502561453832,-6.944512282347165,trend_exit
AAPL,2022-06-24,138.87222290039062,2022-06-28,134.73532104492188,21.02848484598463,-86.99277797705054,-2.978926792607072,trend_exit
MSFT,2022-06-24,259.0086364746094,2022-06-28,248.15289306640625,11.274807182251385,-122.3964137474868,-4.191266961581536,trend_exit
AAPL,2022-07-18,144.17579650878906,2022-08-26,160.6228790283203,19.96447854733154,328.3574261273734,11.407658509816955,trend_exit
SPY,2022-07-19,371.84033203125,2022-08-22,391.8224487304688,7.7823128917103075,155.50708439199025,5.373843281083205,trend_exit
MSFT,2022-07-27,260.01495361328125,2022-08-22,269.3027648925781,10.618768111724789,98.62511424031572,3.5720296660747377,trend_exit
MSFT,2022-10-04,241.3108062744141,2022-10-07,227.1160430908203,12.410934129449458,-176.17027085471682,-5.882357032718942,trend_exit
